step,loss
1,1.177003
1000,0.039082
2000,0.036480
3000,0.024508
4000,0.016998
5000,0.018648
6000,0.022349
7000,0.023526
8000,0.024282
9000,0.020984
10000,0.020268
11000,0.021003
12000,0.016533
13000,0.017870
14000,0.020270
15000,0.013701
16000,0.015529
17000,0.020785
18000,0.020683
19000,0.019128
20000,0.018559
21000,0.017043
22000,0.015117
23000,0.014700
24000,0.010538
25000,0.011150
26000,0.019098
27000,0.017050
28000,0.018274
29000,0.018306
30000,0.016529
31000,0.012692
32000,0.014300
33000,0.014983
34000,0.015066
35000,0.012726
36000,0.009462
37000,0.020589
38000,0.011541
39000,0.015633
40000,0.014886
41000,0.015251
42000,0.021367
43000,0.012216
44000,0.019002
45000,0.012993
46000,0.014088
47000,0.015193
48000,0.013248
49000,0.011028
50000,0.012825
51000,0.010951
52000,0.012511
53000,0.011962
54000,0.012263
55000,0.016550
56000,0.014317
57000,0.015168
58000,0.008282
59000,0.009831
60000,0.012536
61000,0.007981
62000,0.011792
63000,0.011433
64000,0.008646
65000,0.010470
66000,0.013128
67000,0.013369
68000,0.010379
69000,0.010958
70000,0.010830
71000,0.010400
72000,0.009139
73000,0.009879
74000,0.011570
75000,0.009305
76000,0.012383
77000,0.017034
78000,0.014678
79000,0.012915
80000,0.013928
81000,0.011736
82000,0.009312
83000,0.009020
84000,0.008528
85000,0.014336
86000,0.010318
87000,0.014160
88000,0.012878
89000,0.009482
90000,0.010414
91000,0.010948
92000,0.012843
93000,0.009862
94000,0.009120
95000,0.015413
96000,0.009987
97000,0.012453
98000,0.009730
99000,0.010836
100000,0.011862
101000,0.011795
102000,0.008002
103000,0.012765
104000,0.009129
105000,0.010451
106000,0.008867
107000,0.012972
108000,0.011590
109000,0.013809
110000,0.011139
111000,0.008371
112000,0.010460
113000,0.008522
114000,0.005933
115000,0.008004
116000,0.011038
117000,0.010520
118000,0.009673
119000,0.009978
120000,0.007754
121000,0.011139
122000,0.007564
123000,0.007564
124000,0.008835
125000,0.011273
126000,0.007638
127000,0.009394
128000,0.008808
129000,0.011142
130000,0.009919
131000,0.008912
132000,0.011676
133000,0.009468
134000,0.007682
135000,0.010013
136000,0.005257
137000,0.007537
138000,0.009358
139000,0.010685
140000,0.008825
141000,0.009199
142000,0.006078
143000,0.006791
144000,0.007146
145000,0.007789
146000,0.006910
147000,0.008339
148000,0.007026
149000,0.006894
150000,0.009880
151000,0.005657
152000,0.010697
153000,0.006661
154000,0.005345
155000,0.008608
156000,0.009787
157000,0.008424
158000,0.007753
159000,0.009589
160000,0.007307
161000,0.007556
162000,0.006169
163000,0.005698
164000,0.008038
165000,0.008021
166000,0.008149
167000,0.005988
168000,0.009216
169000,0.009289
170000,0.005865
171000,0.007437
172000,0.010867
173000,0.007855
174000,0.008070
175000,0.008192
176000,0.007253
177000,0.007051
178000,0.006423
179000,0.007183
180000,0.009632
181000,0.007609
182000,0.006972
183000,0.008518
184000,0.006812
185000,0.006502
186000,0.008402
187000,0.005403
188000,0.007406
189000,0.008639
190000,0.008193
191000,0.009311
192000,0.007346
193000,0.006668
194000,0.011941
195000,0.005491
196000,0.007835
197000,0.005511
198000,0.006429
199000,0.008491
200000,0.006904
final,0.006904
